team1,team2,match_date,toss_winner,toss_decision,winner,player_of_match,venue,season,match_type
Sunrisers Hyderabad,Kolkata Knight Riders,30-04-2017,Kolkata Knight Riders,field,Sunrisers Hyderabad,DA Warner,"Rajiv Gandhi International Stadium, Uppal",10,League
Kings XI Punjab,Delhi Daredevils,30-04-2017,Kings XI Punjab,field,Kings XI Punjab,Sandeep Sharma,"Punjab Cricket Association IS Bindra Stadium, Mohali",10,League
Rising Pune Supergiant,Gujarat Lions,01-05-2017,Rising Pune Supergiant,field,Rising Pune Supergiant,BA Stokes,Maharashtra Cricket Association Stadium,10,League
Mumbai Indians,Royal Challengers Bangalore,01-05-2017,Royal Challengers Bangalore,bat,Mumbai Indians,RG Sharma,Wankhede Stadium,10,League
Delhi Daredevils,Sunrisers Hyderabad,02-05-2017,Delhi Daredevils,field,Delhi Daredevils,Mohammed Shami,Feroz Shah Kotla,10,League
Kolkata Knight Riders,Rising Pune Supergiant,03-05-2017,Rising Pune Supergiant,field,Rising Pune Supergiant,RA Tripathi,Eden Gardens,10,League
Delhi Daredevils,Gujarat Lions,04-05-2017,Delhi Daredevils,field,Delhi Daredevils,RR Pant,Feroz Shah Kotla,10,League
Royal Challengers Bangalore,Kings XI Punjab,05-05-2017,Royal Challengers Bangalore,field,Kings XI Punjab,Sandeep Sharma,M Chinnaswamy Stadium,10,League
Delhi Daredevils,Mumbai Indians,06-05-2017,Delhi Daredevils,field,Mumbai Indians,LMP Simmons,Feroz Shah Kotla,10,League
Sunrisers Hyderabad,Rising Pune Supergiant,06-05-2017,Sunrisers Hyderabad,field,Rising Pune Supergiant,JD Unadkat,"Rajiv Gandhi International Stadium, Uppal",10,League
Royal Challengers Bangalore,Kolkata Knight Riders,07-05-2017,Kolkata Knight Riders,field,Kolkata Knight Riders,SP Narine,M Chinnaswamy Stadium,10,League
Kings XI Punjab,Gujarat Lions,07-05-2017,Gujarat Lions,field,Gujarat Lions,DR Smith,"Punjab Cricket Association IS Bindra Stadium, Mohali",10,League
Sunrisers Hyderabad,Mumbai Indians,08-05-2017,Mumbai Indians,bat,Sunrisers Hyderabad,S Dhawan,"Rajiv Gandhi International Stadium, Uppal",10,League
Kings XI Punjab,Kolkata Knight Riders,09-05-2017,Kolkata Knight Riders,field,Kings XI Punjab,MM Sharma,"Punjab Cricket Association IS Bindra Stadium, Mohali",10,League
Gujarat Lions,Delhi Daredevils,10-05-2017,Delhi Daredevils,field,Delhi Daredevils,SS Iyer,Green Park,10,League
Mumbai Indians,Kings XI Punjab,11-05-2017,Mumbai Indians,field,Kings XI Punjab,WP Saha,Wankhede Stadium,10,League
Delhi Daredevils,Rising Pune Supergiant,12-05-2017,Delhi Daredevils,bat,Delhi Daredevils,KK Nair,Feroz Shah Kotla,10,League
Kolkata Knight Riders,Mumbai Indians,13-05-2017,Kolkata Knight Riders,field,Mumbai Indians,AT Rayudu,Eden Gardens,10,League
Gujarat Lions,Sunrisers Hyderabad,13-05-2017,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Mohammed Siraj,Green Park,10,League
Delhi Daredevils,Royal Challengers Bangalore,14-05-2017,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,HV Patel,Feroz Shah Kotla,10,League
Rising Pune Supergiant,Kings XI Punjab,14-05-2017,Rising Pune Supergiant,field,Rising Pune Supergiant,JD Unadkat,Maharashtra Cricket Association Stadium,10,League
Mumbai Indians,Rising Pune Supergiant,16-05-2017,Mumbai Indians,field,Rising Pune Supergiant,Washington Sundar,Wankhede Stadium,10,Qualifier 1
Sunrisers Hyderabad,Kolkata Knight Riders,17-05-2017,Kolkata Knight Riders,field,Kolkata Knight Riders,NM Coulter-Nile,M Chinnaswamy Stadium,10,Eliminator
Mumbai Indians,Kolkata Knight Riders,19-05-2017,Mumbai Indians,field,Mumbai Indians,KV Sharma,M Chinnaswamy Stadium,10,Qualifier 2
Mumbai Indians,Rising Pune Supergiant,21-05-2017,Mumbai Indians,bat,Mumbai Indians,KH Pandya,"Rajiv Gandhi International Stadium, Uppal",10,Final
Mumbai Indians,Chennai Super Kings,07-04-2018,Chennai Super Kings,field,Chennai Super Kings,DJ Bravo,Wankhede Stadium,11,League
Delhi Daredevils,Kings XI Punjab,08-04-2018,Kings XI Punjab,field,Kings XI Punjab,KL Rahul,Punjab Cricket Association IS Bindra Stadium,11,League
Royal Challengers Bangalore,Kolkata Knight Riders,08-04-2018,Kolkata Knight Riders,field,Kolkata Knight Riders,SP Narine,Eden Gardens,11,League
Rajasthan Royals,Sunrisers Hyderabad,09-04-2018,Sunrisers Hyderabad,field,Sunrisers Hyderabad,S Dhawan,Rajiv Gandhi International Stadium,11,League
Kolkata Knight Riders,Chennai Super Kings,10-04-2018,Chennai Super Kings,field,Chennai Super Kings,SW Billings,MA Chidambaram Stadium,11,League
Rajasthan Royals,Delhi Daredevils,11-04-2018,Delhi Daredevils,field,Rajasthan Royals,SV Samson,Sawai Mansingh Stadium,11,League
Mumbai Indians,Sunrisers Hyderabad,12-04-2018,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Rashid Khan,Rajiv Gandhi International Stadium,11,League
Kings XI Punjab,Royal Challengers Bangalore,13-04-2018,Royal Challengers Bangalore,field,Royal Challengers Bangalore,UT Yadav,M.Chinnaswamy Stadium,11,League
