team1,team2,match_date,toss_winner,toss_decision,winner,player_of_match,venue,season,match_type
Sunrisers Hyderabad,Rajasthan Royals,27-04-2019,Rajasthan Royals,field,Rajasthan Royals,JD Unadkat,Sawai Mansingh Stadium,12,League
Delhi Capitals,Royal Challengers Bangalore,28-04-2019,Delhi Capitals,bat,Delhi Capitals,S Dhawan,Arun Jaitley Stadium,12,League
Kolkata Knight Riders,Mumbai Indians,28-04-2019,Mumbai Indians,field,Kolkata Knight Riders,AD Russell,Eden Gardens,12,League
Sunrisers Hyderabad,Kings XI Punjab,29-04-2019,Kings XI Punjab,field,Sunrisers Hyderabad,DA Warner,Rajiv Gandhi International Stadium,12,League
Royal Challengers Bangalore,Rajasthan Royals,30-04-2019,Rajasthan Royals,field,,N,M.Chinnaswamy Stadium,12,League
Chennai Super Kings,Delhi Capitals,01-05-2019,Delhi Capitals,field,Chennai Super Kings,MS Dhoni,MA Chidambaram Stadium,12,League
Mumbai Indians,Sunrisers Hyderabad,02-05-2019,Mumbai Indians,bat,,JJ Bumrah,Wankhede Stadium,12,League
Kings XI Punjab,Kolkata Knight Riders,03-05-2019,Kolkata Knight Riders,field,Kolkata Knight Riders,Shubman Gill,Punjab Cricket Association IS Bindra Stadium,12,League
Rajasthan Royals,Delhi Capitals,04-05-2019,Rajasthan Royals,bat,Delhi Capitals,A Mishra,Arun Jaitley Stadium,12,League
Sunrisers Hyderabad,Royal Challengers Bangalore,04-05-2019,Royal Challengers Bangalore,field,Royal Challengers Bangalore,SO Hetmyer,M.Chinnaswamy Stadium,12,League
Kolkata Knight Riders,Mumbai Indians,05-05-2019,Mumbai Indians,field,Mumbai Indians,HH Pandya,Wankhede Stadium,12,League
Chennai Super Kings,Kings XI Punjab,05-05-2019,Kings XI Punjab,field,Kings XI Punjab,KL Rahul,Punjab Cricket Association IS Bindra Stadium,12,League
Chennai Super Kings,Mumbai Indians,07-05-2019,Chennai Super Kings,bat,Mumbai Indians,SA Yadav,MA Chidambaram Stadium,12,Qualifier 1
Sunrisers Hyderabad,Delhi Capitals,08-05-2019,Delhi Capitals,field,Delhi Capitals,RR Pant,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,12,Eliminator
Delhi Capitals,Chennai Super Kings,10-05-2019,Chennai Super Kings,field,Chennai Super Kings,F du Plessis,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,12,Qualifier 2
Mumbai Indians,Chennai Super Kings,12-05-2019,Mumbai Indians,bat,Mumbai Indians,JJ Bumrah,Rajiv Gandhi International Stadium,12,Final
Mumbai Indians,Chennai Super Kings,19-09-2020,Chennai Super Kings,field,Chennai Super Kings,AT Rayudu,Sheikh Zayed Stadium,13,League
Delhi Capitals,Kings XI Punjab,20-09-2020,Kings XI Punjab,field,,MP Stoinis,Dubai International Cricket Stadium,13,League
Royal Challengers Bangalore,Sunrisers Hyderabad,21-09-2020,Sunrisers Hyderabad,field,Royal Challengers Bangalore,YS Chahal,Dubai International Cricket Stadium,13,League
Rajasthan Royals,Chennai Super Kings,22-09-2020,Chennai Super Kings,field,Rajasthan Royals,SV Samson,Sharjah Cricket Stadium,13,League
Mumbai Indians,Kolkata Knight Riders,23-09-2020,Kolkata Knight Riders,field,Mumbai Indians,RG Sharma,Sheikh Zayed Stadium,13,League
Kings XI Punjab,Royal Challengers Bangalore,24-09-2020,Royal Challengers Bangalore,field,Kings XI Punjab,KL Rahul,Dubai International Cricket Stadium,13,League
Delhi Capitals,Chennai Super Kings,25-09-2020,Chennai Super Kings,field,Delhi Capitals,PP Shaw,Dubai International Cricket Stadium,13,League
Sunrisers Hyderabad,Kolkata Knight Riders,26-09-2020,Sunrisers Hyderabad,bat,Kolkata Knight Riders,Shubman Gill,Sheikh Zayed Stadium,13,League
Kings XI Punjab,Rajasthan Royals,27-09-2020,Rajasthan Royals,field,Rajasthan Royals,SV Samson,Sharjah Cricket Stadium,13,League
Royal Challengers Bangalore,Mumbai Indians,28-09-2020,Mumbai Indians,field,,AB de Villiers,Dubai International Cricket Stadium,13,League
Sunrisers Hyderabad,Delhi Capitals,29-09-2020,Delhi Capitals,field,Sunrisers Hyderabad,Rashid Khan,Sheikh Zayed Stadium,13,League
Kolkata Knight Riders,Rajasthan Royals,30-09-2020,Rajasthan Royals,field,Kolkata Knight Riders,Shivam Mavi,Dubai International Cricket Stadium,13,League
Mumbai Indians,Kings XI Punjab,01-10-2020,Kings XI Punjab,field,Mumbai Indians,KA Pollard,Sheikh Zayed Stadium,13,League
Sunrisers Hyderabad,Chennai Super Kings,02-10-2020,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,PK Garg,Dubai International Cricket Stadium,13,League
Rajasthan Royals,Royal Challengers Bangalore,03-10-2020,Rajasthan Royals,bat,Royal Challengers Bangalore,YS Chahal,Sheikh Zayed Stadium,13,League
Delhi Capitals,Kolkata Knight Riders,03-10-2020,Kolkata Knight Riders,field,Delhi Capitals,SS Iyer,Sharjah Cricket Stadium,13,League
Mumbai Indians,Sunrisers Hyderabad,04-10-2020,Mumbai Indians,bat,Mumbai Indians,TA Boult,Sharjah Cricket Stadium,13,League
Kings XI Punjab,Chennai Super Kings,04-10-2020,Kings XI Punjab,bat,Chennai Super Kings,SR Watson,Dubai International Cricket Stadium,13,League
Delhi Capitals,Royal Challengers Bangalore,05-10-2020,Royal Challengers Bangalore,field,Delhi Capitals,AR Patel,Dubai International Cricket Stadium,13,League
Mumbai Indians,Rajasthan Royals,06-10-2020,Mumbai Indians,bat,Mumbai Indians,SA Yadav,Sheikh Zayed Stadium,13,League
Kolkata Knight Riders,Chennai Super Kings,07-10-2020,Kolkata Knight Riders,bat,Kolkata Knight Riders,RA Tripathi,Sheikh Zayed Stadium,13,League
Sunrisers Hyderabad,Kings XI Punjab,08-10-2020,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,JM Bairstow,Dubai International Cricket Stadium,13,League
Delhi Capitals,Rajasthan Royals,09-10-2020,Rajasthan Royals,field,Delhi Capitals,R Ashwin,Sharjah Cricket Stadium,13,League
Kolkata Knight Riders,Kings XI Punjab,10-10-2020,Kolkata Knight Riders,bat,Kolkata Knight Riders,KD Karthik,Sheikh Zayed Stadium,13,League
Royal Challengers Bangalore,Chennai Super Kings,10-10-2020,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,V Kohli,Dubai International Cricket Stadium,13,League
Sunrisers Hyderabad,Rajasthan Royals,11-10-2020,Sunrisers Hyderabad,bat,Rajasthan Royals,R Tewatia,Dubai International Cricket Stadium,13,League
Delhi Capitals,Mumbai Indians,11-10-2020,Delhi Capitals,bat,Mumbai Indians,Q de Kock,Sheikh Zayed Stadium,13,League
Royal Challengers Bangalore,Kolkata Knight Riders,12-10-2020,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,AB de Villiers,Sharjah Cricket Stadium,13,League
Chennai Super Kings,Sunrisers Hyderabad,13-10-2020,Chennai Super Kings,bat,Chennai Super Kings,RA Jadeja,Dubai International Cricket Stadium,13,League
Delhi Capitals,Rajasthan Royals,14-10-2020,Delhi Capitals,bat,Delhi Capitals,A Nortje,Dubai International Cricket Stadium,13,League
Royal Challengers Bangalore,Kings XI Punjab,15-10-2020,Royal Challengers Bangalore,bat,Kings XI Punjab,KL Rahul,Sharjah Cricket Stadium,13,League
Kolkata Knight Riders,Mumbai Indians,16-10-2020,Kolkata Knight Riders,bat,Mumbai Indians,Q de Kock,Sheikh Zayed Stadium,13,League
Chennai Super Kings,Delhi Capitals,17-10-2020,Chennai Super Kings,bat,Delhi Capitals,S Dhawan,Sharjah Cricket Stadium,13,League
Rajasthan Royals,Royal Challengers Bangalore,17-10-2020,Rajasthan Royals,bat,Royal Challengers Bangalore,AB de Villiers,Dubai International Cricket Stadium,13,League
Kolkata Knight Riders,Sunrisers Hyderabad,18-10-2020,Sunrisers Hyderabad,field,,LH Ferguson,Sheikh Zayed Stadium,13,League
Mumbai Indians,Kings XI Punjab,18-10-2020,Mumbai Indians,bat,,KL Rahul,Dubai International Cricket Stadium,13,League
Chennai Super Kings,Rajasthan Royals,19-10-2020,Chennai Super Kings,bat,Rajasthan Royals,JC Buttler,Sheikh Zayed Stadium,13,League
Delhi Capitals,Kings XI Punjab,20-10-2020,Delhi Capitals,bat,Kings XI Punjab,S Dhawan,Dubai International Cricket Stadium,13,League
Kolkata Knight Riders,Royal Challengers Bangalore,21-10-2020,Kolkata Knight Riders,bat,Royal Challengers Bangalore,Mohammed Siraj,Sheikh Zayed Stadium,13,League
Rajasthan Royals,Sunrisers Hyderabad,22-10-2020,Sunrisers Hyderabad,field,Sunrisers Hyderabad,MK Pandey,Dubai International Cricket Stadium,13,League
Chennai Super Kings,Mumbai Indians,23-10-2020,Mumbai Indians,field,Mumbai Indians,TA Boult,Sharjah Cricket Stadium,13,League
Kolkata Knight Riders,Delhi Capitals,24-10-2020,Delhi Capitals,field,Kolkata Knight Riders,CV Varun,Sheikh Zayed Stadium,13,League
Kings XI Punjab,Sunrisers Hyderabad,24-10-2020,Sunrisers Hyderabad,field,Kings XI Punjab,CJ Jordan,Dubai International Cricket Stadium,13,League
Mumbai Indians,Rajasthan Royals,25-10-2020,Mumbai Indians,bat,Rajasthan Royals,BA Stokes,Sheikh Zayed Stadium,13,League
Royal Challengers Bangalore,Chennai Super Kings,25-10-2020,Royal Challengers Bangalore,bat,Chennai Super Kings,RD Gaikwad,Dubai International Cricket Stadium,13,League
Kolkata Knight Riders,Kings XI Punjab,26-10-2020,Kings XI Punjab,field,Kings XI Punjab,CH Gayle,Sharjah Cricket Stadium,13,League
Sunrisers Hyderabad,Delhi Capitals,27-10-2020,Delhi Capitals,field,Sunrisers Hyderabad,WP Saha,Dubai International Cricket Stadium,13,League
Royal Challengers Bangalore,Mumbai Indians,28-10-2020,Mumbai Indians,field,Mumbai Indians,SA Yadav,Sheikh Zayed Stadium,13,League
Kolkata Knight Riders,Chennai Super Kings,29-10-2020,Chennai Super Kings,field,Chennai Super Kings,RD Gaikwad,Dubai International Cricket Stadium,13,League
Kings XI Punjab,Rajasthan Royals,30-10-2020,Rajasthan Royals,field,Rajasthan Royals,BA Stokes,Sheikh Zayed Stadium,13,League
Delhi Capitals,Mumbai Indians,31-10-2020,Mumbai Indians,field,Mumbai Indians,Ishan Kishan,Dubai International Cricket Stadium,13,League
Royal Challengers Bangalore,Sunrisers Hyderabad,31-10-2020,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Sandeep Sharma,Sharjah Cricket Stadium,13,League
Kolkata Knight Riders,Rajasthan Royals,01-11-2020,Rajasthan Royals,field,Kolkata Knight Riders,PJ Cummins,Dubai International Cricket Stadium,13,League
Kings XI Punjab,Chennai Super Kings,01-11-2020,Chennai Super Kings,field,Chennai Super Kings,RD Gaikwad,Sheikh Zayed Stadium,13,League
Royal Challengers Bangalore,Delhi Capitals,02-11-2020,Delhi Capitals,field,Delhi Capitals,A Nortje,Sheikh Zayed Stadium,13,League
Mumbai Indians,Sunrisers Hyderabad,03-11-2020,Sunrisers Hyderabad,field,Sunrisers Hyderabad,S Nadeem,Sharjah Cricket Stadium,13,League
Mumbai Indians,Delhi Capitals,05-11-2020,Delhi Capitals,field,Mumbai Indians,JJ Bumrah,Dubai International Cricket Stadium,13,Qualifier 1
Royal Challengers Bangalore,Sunrisers Hyderabad,06-11-2020,Sunrisers Hyderabad,field,Sunrisers Hyderabad,KS Williamson,Sheikh Zayed Stadium,13,Eliminator
Delhi Capitals,Sunrisers Hyderabad,08-11-2020,Delhi Capitals,bat,Delhi Capitals,MP Stoinis,Sheikh Zayed Stadium,13,Qualifier 2
Delhi Capitals,Mumbai Indians,10-11-2020,Delhi Capitals,bat,Mumbai Indians,TA Boult,Dubai International Cricket Stadium,13,Final
Mumbai Indians,Royal Challengers Bangalore,09-04-2021,Royal Challengers Bangalore,field,Royal Challengers Bangalore,HV Patel,"MA Chidambaram Stadium, Chepauk, Chennai",14,League
Chennai Super Kings,Delhi Capitals,10-04-2021,Delhi Capitals,field,Delhi Capitals,S Dhawan,"Wankhede Stadium, Mumbai",14,League
Kolkata Knight Riders,Sunrisers Hyderabad,11-04-2021,Sunrisers Hyderabad,field,Kolkata Knight Riders,N Rana,"MA Chidambaram Stadium, Chepauk, Chennai",14,League
Punjab Kings,Rajasthan Royals,12-04-2021,Rajasthan Royals,field,Punjab Kings,SV Samson,"Wankhede Stadium, Mumbai",14,League
Mumbai Indians,Kolkata Knight Riders,13-04-2021,Kolkata Knight Riders,field,Mumbai Indians,RD Chahar,"MA Chidambaram Stadium, Chepauk, Chennai",14,League
Royal Challengers Bangalore,Sunrisers Hyderabad,14-04-2021,Sunrisers Hyderabad,field,Royal Challengers Bangalore,GJ Maxwell,"MA Chidambaram Stadium, Chepauk, Chennai",14,League
Delhi Capitals,Rajasthan Royals,15-04-2021,Rajasthan Royals,field,Rajasthan Royals,JD Unadkat,"Wankhede Stadium, Mumbai",14,League
Punjab Kings,Chennai Super Kings,16-04-2021,Chennai Super Kings,field,Chennai Super Kings,DL Chahar,"Wankhede Stadium, Mumbai",14,League
Mumbai Indians,Sunrisers Hyderabad,17-04-2021,Mumbai Indians,bat,Mumbai Indians,KA Pollard,"MA Chidambaram Stadium, Chepauk, Chennai",14,League
Punjab Kings,Delhi Capitals,18-04-2021,Delhi Capitals,field,Delhi Capitals,S Dhawan,"Wankhede Stadium, Mumbai",14,League
Royal Challengers Bangalore,Kolkata Knight Riders,18-04-2021,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,AB de Villiers,"MA Chidambaram Stadium, Chepauk, Chennai",14,League
Chennai Super Kings,Rajasthan Royals,19-04-2021,Rajasthan Royals,field,Chennai Super Kings,MM Ali,"Wankhede Stadium, Mumbai",14,League
Mumbai Indians,Delhi Capitals,20-04-2021,Mumbai Indians,bat,Delhi Capitals,A Mishra,"MA Chidambaram Stadium, Chepauk, Chennai",14,League
Punjab Kings,Sunrisers Hyderabad,21-04-2021,Punjab Kings,bat,Sunrisers Hyderabad,JM Bairstow,"MA Chidambaram Stadium, Chepauk, Chennai",14,League
Chennai Super Kings,Kolkata Knight Riders,21-04-2021,Kolkata Knight Riders,field,Chennai Super Kings,F du Plessis,"Wankhede Stadium, Mumbai",14,League
Rajasthan Royals,Royal Challengers Bangalore,22-04-2021,Royal Challengers Bangalore,field,Royal Challengers Bangalore,D Padikkal,"Wankhede Stadium, Mumbai",14,League
Mumbai Indians,Punjab Kings,23-04-2021,Punjab Kings,field,Punjab Kings,KL Rahul,"MA Chidambaram Stadium, Chepauk, Chennai",14,League
Kolkata Knight Riders,Rajasthan Royals,24-04-2021,Rajasthan Royals,field,Rajasthan Royals,CH Morris,"Wankhede Stadium, Mumbai",14,League
Chennai Super Kings,Royal Challengers Bangalore,25-04-2021,Chennai Super Kings,bat,Chennai Super Kings,RA Jadeja,"Wankhede Stadium, Mumbai",14,League
Delhi Capitals,Sunrisers Hyderabad,25-04-2021,Delhi Capitals,bat,,PP Shaw,"MA Chidambaram Stadium, Chepauk, Chennai",14,League
Punjab Kings,Kolkata Knight Riders,26-04-2021,Kolkata Knight Riders,field,Kolkata Knight Riders,EJG Morgan,"Narendra Modi Stadium, Ahmedabad",14,League
Royal Challengers Bangalore,Delhi Capitals,27-04-2021,Delhi Capitals,field,Royal Challengers Bangalore,AB de Villiers,"Narendra Modi Stadium, Ahmedabad",14,League
Sunrisers Hyderabad,Chennai Super Kings,28-04-2021,Sunrisers Hyderabad,bat,Chennai Super Kings,RD Gaikwad,"Arun Jaitley Stadium, Delhi",14,League
Kolkata Knight Riders,Delhi Capitals,29-04-2021,Delhi Capitals,field,Delhi Capitals,PP Shaw,"Narendra Modi Stadium, Ahmedabad",14,League
Rajasthan Royals,Mumbai Indians,29-04-2021,Mumbai Indians,field,Mumbai Indians,Q de Kock,"Arun Jaitley Stadium, Delhi",14,League
Punjab Kings,Royal Challengers Bangalore,30-04-2021,Royal Challengers Bangalore,field,Punjab Kings,Harpreet Brar,"Narendra Modi Stadium, Ahmedabad",14,League
Chennai Super Kings,Mumbai Indians,01-05-2021,Mumbai Indians,field,Mumbai Indians,KA Pollard,"Arun Jaitley Stadium, Delhi",14,League
Rajasthan Royals,Sunrisers Hyderabad,02-05-2021,Sunrisers Hyderabad,field,Rajasthan Royals,JC Buttler,"Arun Jaitley Stadium, Delhi",14,League
Punjab Kings,Delhi Capitals,02-05-2021,Delhi Capitals,field,Delhi Capitals,MA Agarwal,"Narendra Modi Stadium, Ahmedabad",14,League
Chennai Super Kings,Mumbai Indians,19-09-2021,Chennai Super Kings,bat,Chennai Super Kings,RD Gaikwad,Dubai International Cricket Stadium,14,League
Royal Challengers Bangalore,Kolkata Knight Riders,20-09-2021,Royal Challengers Bangalore,bat,Kolkata Knight Riders,CV Varun,"Zayed Cricket Stadium, Abu Dhabi",14,League
Rajasthan Royals,Punjab Kings,21-09-2021,Punjab Kings,field,Rajasthan Royals,Kartik Tyagi,Dubai International Cricket Stadium,14,League
Sunrisers Hyderabad,Delhi Capitals,22-09-2021,Sunrisers Hyderabad,bat,Delhi Capitals,A Nortje,Dubai International Cricket Stadium,14,League
Mumbai Indians,Kolkata Knight Riders,23-09-2021,Kolkata Knight Riders,field,Kolkata Knight Riders,SP Narine,"Zayed Cricket Stadium, Abu Dhabi",14,League
Royal Challengers Bangalore,Chennai Super Kings,24-09-2021,Chennai Super Kings,field,Chennai Super Kings,DJ Bravo,Sharjah Cricket Stadium,14,League
Punjab Kings,Sunrisers Hyderabad,25-09-2021,Sunrisers Hyderabad,field,Punjab Kings,JO Holder,Sharjah Cricket Stadium,14,League
Delhi Capitals,Rajasthan Royals,25-09-2021,Rajasthan Royals,field,Delhi Capitals,SS Iyer,"Zayed Cricket Stadium, Abu Dhabi",14,League
Kolkata Knight Riders,Chennai Super Kings,26-09-2021,Kolkata Knight Riders,bat,Chennai Super Kings,RA Jadeja,"Zayed Cricket Stadium, Abu Dhabi",14,League
Royal Challengers Bangalore,Mumbai Indians,26-09-2021,Mumbai Indians,field,Royal Challengers Bangalore,GJ Maxwell,Dubai International Cricket Stadium,14,League
Rajasthan Royals,Sunrisers Hyderabad,27-09-2021,Rajasthan Royals,bat,Sunrisers Hyderabad,JJ Roy,Dubai International Cricket Stadium,14,League
Delhi Capitals,Kolkata Knight Riders,28-09-2021,Kolkata Knight Riders,field,Kolkata Knight Riders,SP Narine,Sharjah Cricket Stadium,14,League
Punjab Kings,Mumbai Indians,28-09-2021,Mumbai Indians,field,Mumbai Indians,KA Pollard,"Zayed Cricket Stadium, Abu Dhabi",14,League
Rajasthan Royals,Royal Challengers Bangalore,29-09-2021,Royal Challengers Bangalore,field,Royal Challengers Bangalore,YS Chahal,Dubai International Cricket Stadium,14,League
Sunrisers Hyderabad,Chennai Super Kings,30-09-2021,Chennai Super Kings,field,Chennai Super Kings,JR Hazlewood,Sharjah Cricket Stadium,14,League
Kolkata Knight Riders,Punjab Kings,01-10-2021,Punjab Kings,field,Punjab Kings,KL Rahul,Dubai International Cricket Stadium,14,League
Mumbai Indians,Delhi Capitals,02-10-2021,Delhi Capitals,field,Delhi Capitals,AR Patel,Sharjah Cricket Stadium,14,League
Chennai Super Kings,Rajasthan Royals,02-10-2021,Rajasthan Royals,field,Rajasthan Royals,RD Gaikwad,"Zayed Cricket Stadium, Abu Dhabi",14,League
Sunrisers Hyderabad,Kolkata Knight Riders,03-10-2021,Sunrisers Hyderabad,bat,Kolkata Knight Riders,Shubman Gill,Dubai International Cricket Stadium,14,League
Royal Challengers Bangalore,Punjab Kings,03-10-2021,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,GJ Maxwell,Sharjah Cricket Stadium,14,League
Chennai Super Kings,Delhi Capitals,04-10-2021,Delhi Capitals,field,Delhi Capitals,AR Patel,Dubai International Cricket Stadium,14,League
Rajasthan Royals,Mumbai Indians,05-10-2021,Mumbai Indians,field,Mumbai Indians,NM Coulter-Nile,Sharjah Cricket Stadium,14,League
Sunrisers Hyderabad,Royal Challengers Bangalore,06-10-2021,Royal Challengers Bangalore,field,Sunrisers Hyderabad,KS Williamson,"Zayed Cricket Stadium, Abu Dhabi",14,League
Kolkata Knight Riders,Rajasthan Royals,07-10-2021,Rajasthan Royals,field,Kolkata Knight Riders,Shivam Mavi,Sharjah Cricket Stadium,14,League
Chennai Super Kings,Punjab Kings,07-10-2021,Punjab Kings,field,Punjab Kings,KL Rahul,Dubai International Cricket Stadium,14,League
Mumbai Indians,Sunrisers Hyderabad,08-10-2021,Mumbai Indians,bat,Mumbai Indians,Ishan Kishan,"Zayed Cricket Stadium, Abu Dhabi",14,League
Delhi Capitals,Royal Challengers Bangalore,08-10-2021,Royal Challengers Bangalore,field,Royal Challengers Bangalore,KS Bharat,Dubai International Cricket Stadium,14,League
Delhi Capitals,Chennai Super Kings,10-10-2021,Chennai Super Kings,field,Chennai Super Kings,RD Gaikwad,Dubai International Cricket Stadium,14,Qualifier 1
Royal Challengers Bangalore,Kolkata Knight Riders,11-10-2021,Royal Challengers Bangalore,bat,Kolkata Knight Riders,SP Narine,Sharjah Cricket Stadium,14,Eliminator
Delhi Capitals,Kolkata Knight Riders,13-10-2021,Kolkata Knight Riders,field,Kolkata Knight Riders,VR Iyer,Sharjah Cricket Stadium,14,Qualifier 2
Chennai Super Kings,Kolkata Knight Riders,15-10-2021,Kolkata Knight Riders,field,Chennai Super Kings,F du Plessis,Dubai International Cricket Stadium,14,Final
Chennai Super Kings,Kolkata Knight Riders,26-03-2022,Kolkata Knight Riders,field,Kolkata Knight Riders,UT Yadav,"Wankhede Stadium, Mumbai",15,League
Mumbai Indians,Delhi Capitals,27-03-2022,Delhi Capitals,field,Delhi Capitals,Kuldeep Yadav,"Brabourne Stadium, Mumbai",15,League
Royal Challengers Bangalore,Punjab Kings,27-03-2022,Punjab Kings,field,Punjab Kings,OF Smith,"Dr DY Patil Sports Academy, Mumbai",15,League
Lucknow Super Giants,Gujarat Titans,28-03-2022,Gujarat Titans,field,Gujarat Titans,Mohammed Shami,"Wankhede Stadium, Mumbai",15,League
Rajasthan Royals,Sunrisers Hyderabad,29-03-2022,Sunrisers Hyderabad,field,Rajasthan Royals,SV Samson,"Maharashtra Cricket Association Stadium, Pune",15,League
Kolkata Knight Riders,Royal Challengers Bangalore,30-03-2022,Royal Challengers Bangalore,field,Royal Challengers Bangalore,PWH de Silva,"Dr DY Patil Sports Academy, Mumbai",15,League
Chennai Super Kings,Lucknow Super Giants,31-03-2022,Lucknow Super Giants,field,Lucknow Super Giants,E Lewis,"Brabourne Stadium, Mumbai",15,League
Punjab Kings,Kolkata Knight Riders,01-04-2022,Kolkata Knight Riders,field,Kolkata Knight Riders,UT Yadav,"Wankhede Stadium, Mumbai",15,League
Gujarat Titans,Delhi Capitals,02-04-2022,Delhi Capitals,field,Gujarat Titans,LH Ferguson,"Maharashtra Cricket Association Stadium, Pune",15,League
Rajasthan Royals,Mumbai Indians,02-04-2022,Mumbai Indians,field,Rajasthan Royals,JC Buttler,"Dr DY Patil Sports Academy, Mumbai",15,League
Punjab Kings,Chennai Super Kings,03-04-2022,Chennai Super Kings,field,Punjab Kings,LS Livingstone,"Brabourne Stadium, Mumbai",15,League
Lucknow Super Giants,Sunrisers Hyderabad,04-04-2022,Sunrisers Hyderabad,field,Lucknow Super Giants,Avesh Khan,"Dr DY Patil Sports Academy, Mumbai",15,League
Rajasthan Royals,Royal Challengers Bangalore,05-04-2022,Royal Challengers Bangalore,field,Royal Challengers Bangalore,KD Karthik,"Wankhede Stadium, Mumbai",15,League
Mumbai Indians,Kolkata Knight Riders,06-04-2022,Kolkata Knight Riders,field,Kolkata Knight Riders,PJ Cummins,"Maharashtra Cricket Association Stadium, Pune",15,League
Delhi Capitals,Lucknow Super Giants,07-04-2022,Lucknow Super Giants,field,Lucknow Super Giants,Q de Kock,"Dr DY Patil Sports Academy, Mumbai",15,League
Punjab Kings,Gujarat Titans,08-04-2022,Gujarat Titans,field,Gujarat Titans,Shubman Gill,"Brabourne Stadium, Mumbai",15,League
Chennai Super Kings,Sunrisers Hyderabad,09-04-2022,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Abhishek Sharma,"Dr DY Patil Sports Academy, Mumbai",15,League
Mumbai Indians,Royal Challengers Bangalore,09-04-2022,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Anuj Rawat,"Maharashtra Cricket Association Stadium, Pune",15,League
Rajasthan Royals,Lucknow Super Giants,10-04-2022,Lucknow Super Giants,field,Rajasthan Royals,YS Chahal,"Wankhede Stadium, Mumbai",15,League
Delhi Capitals,Kolkata Knight Riders,10-04-2022,Kolkata Knight Riders,field,Delhi Capitals,Kuldeep Yadav,"Brabourne Stadium, Mumbai",15,League
Gujarat Titans,Sunrisers Hyderabad,11-04-2022,Sunrisers Hyderabad,field,Sunrisers Hyderabad,KS Williamson,"Dr DY Patil Sports Academy, Mumbai",15,League
Chennai Super Kings,Royal Challengers Bangalore,12-04-2022,Royal Challengers Bangalore,field,Chennai Super Kings,S Dube,"Dr DY Patil Sports Academy, Mumbai",15,League
Punjab Kings,Mumbai Indians,13-04-2022,Mumbai Indians,field,Punjab Kings,MA Agarwal,"Maharashtra Cricket Association Stadium, Pune",15,League
Gujarat Titans,Rajasthan Royals,14-04-2022,Rajasthan Royals,field,Gujarat Titans,HH Pandya,"Dr DY Patil Sports Academy, Mumbai",15,League
Kolkata Knight Riders,Sunrisers Hyderabad,15-04-2022,Sunrisers Hyderabad,field,Sunrisers Hyderabad,RA Tripathi,"Brabourne Stadium, Mumbai",15,League
Royal Challengers Bangalore,Delhi Capitals,16-04-2022,Delhi Capitals,field,Royal Challengers Bangalore,KD Karthik,"Wankhede Stadium, Mumbai",15,League
Lucknow Super Giants,Mumbai Indians,16-04-2022,Mumbai Indians,field,Lucknow Super Giants,KL Rahul,"Brabourne Stadium, Mumbai",15,League
Punjab Kings,Sunrisers Hyderabad,17-04-2022,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Umran Malik,"Dr DY Patil Sports Academy, Mumbai",15,League
Chennai Super Kings,Gujarat Titans,17-04-2022,Gujarat Titans,field,Gujarat Titans,DA Miller,"Maharashtra Cricket Association Stadium, Pune",15,League
Rajasthan Royals,Kolkata Knight Riders,18-04-2022,Kolkata Knight Riders,field,Rajasthan Royals,YS Chahal,"Brabourne Stadium, Mumbai",15,League
Royal Challengers Bangalore,Lucknow Super Giants,19-04-2022,Lucknow Super Giants,field,Royal Challengers Bangalore,F du Plessis,"Dr DY Patil Sports Academy, Mumbai",15,League
Punjab Kings,Delhi Capitals,20-04-2022,Delhi Capitals,field,Delhi Capitals,Kuldeep Yadav,"Brabourne Stadium, Mumbai",15,League
Mumbai Indians,Chennai Super Kings,21-04-2022,Chennai Super Kings,field,Chennai Super Kings,Mukesh Choudhary,"Dr DY Patil Sports Academy, Mumbai",15,League
Rajasthan Royals,Delhi Capitals,22-04-2022,Delhi Capitals,field,Rajasthan Royals,JC Buttler,"Wankhede Stadium, Mumbai",15,League
Royal Challengers Bangalore,Sunrisers Hyderabad,23-04-2022,Sunrisers Hyderabad,field,Sunrisers Hyderabad,M Jansen,"Brabourne Stadium, Mumbai",15,League
Gujarat Titans,Kolkata Knight Riders,23-04-2022,Gujarat Titans,bat,Gujarat Titans,Rashid Khan,"Dr DY Patil Sports Academy, Mumbai",15,League
Lucknow Super Giants,Mumbai Indians,24-04-2022,Mumbai Indians,field,Lucknow Super Giants,KL Rahul,"Wankhede Stadium, Mumbai",15,League
Punjab Kings,Chennai Super Kings,25-04-2022,Chennai Super Kings,field,Punjab Kings,S Dhawan,"Wankhede Stadium, Mumbai",15,League
